"id","presente","id_vereador","id_sessao","timestamp"
3685,true,42,15,2019-11-26 23:17:23
3686,true,42,16,2019-11-26 23:17:23
3687,true,42,17,2019-11-26 23:17:23
3688,true,42,18,2019-11-26 23:17:23
3689,true,42,20,2019-11-26 23:17:23
3690,true,42,21,2019-11-26 23:17:23
3691,true,42,22,2019-11-26 23:17:23
3692,true,42,23,2019-11-26 23:17:23
3693,true,42,25,2019-11-26 23:17:23
3694,true,42,26,2019-11-26 23:17:23
3695,true,42,27,2019-11-26 23:17:23
3696,true,42,28,2019-11-26 23:17:23
3697,true,42,29,2019-11-26 23:17:23
3698,true,42,31,2019-11-26 23:17:23
3699,true,42,32,2019-11-26 23:17:23
3700,true,42,33,2019-11-26 23:17:23
3701,true,42,34,2019-11-26 23:17:23
3702,true,42,35,2019-11-26 23:17:23
3703,true,42,36,2019-11-26 23:17:23
3704,true,42,37,2019-11-26 23:17:23
3705,true,42,43,2019-11-26 23:17:23
3706,true,42,45,2019-11-26 23:17:23
3707,true,42,46,2019-11-26 23:17:23
3708,true,42,47,2019-11-26 23:17:23
3709,true,42,48,2019-11-26 23:17:23
3710,true,42,49,2019-11-26 23:17:23
3711,true,42,50,2019-11-26 23:17:23
3712,true,42,58,2019-11-26 23:17:23
3713,true,42,59,2019-11-26 23:17:23
3714,true,42,60,2019-11-26 23:17:23
3715,true,42,62,2019-11-26 23:17:23
3716,true,42,65,2019-11-26 23:17:23
3717,true,42,90,2019-11-26 23:17:23
3718,true,42,66,2019-11-26 23:17:23
3719,true,42,67,2019-11-26 23:17:23
3720,true,42,68,2019-11-26 23:17:23
3721,true,42,69,2019-11-26 23:17:23
3722,true,42,70,2019-11-26 23:17:23
3723,true,42,71,2019-11-26 23:17:23
3724,true,42,72,2019-11-26 23:17:23
3725,true,42,73,2019-11-26 23:17:23
3726,true,42,74,2019-11-26 23:17:23
3727,true,42,75,2019-11-26 23:17:23
3728,true,42,76,2019-11-26 23:17:24
3729,true,42,77,2019-11-26 23:17:24
3730,true,42,78,2019-11-26 23:17:24
3731,true,42,79,2019-11-26 23:17:24
3732,true,42,80,2019-11-26 23:17:24
3733,true,42,81,2019-11-26 23:17:24
3734,true,42,82,2019-11-26 23:17:24
3735,true,42,83,2019-11-26 23:17:24
3736,true,42,84,2019-11-26 23:17:24
3737,true,42,85,2019-11-26 23:17:24
3738,true,42,86,2019-11-26 23:17:24
3739,true,42,87,2019-11-26 23:17:24
3740,true,42,88,2019-11-26 23:17:24
3741,true,42,89,2019-11-26 23:17:24
3742,true,42,91,2019-11-26 23:17:24
3743,true,42,92,2019-11-26 23:17:24
3744,true,42,93,2019-11-26 23:17:24
3745,true,42,94,2019-11-26 23:17:24
3746,true,42,95,2019-11-26 23:17:24
3747,true,42,96,2019-11-26 23:17:24
3748,true,42,97,2019-11-26 23:17:24
3749,true,42,98,2019-11-26 23:17:24
3750,true,42,99,2019-11-26 23:17:24
3751,true,42,100,2019-11-26 23:17:24
3752,true,42,101,2019-11-26 23:17:24
3753,true,42,102,2019-11-26 23:17:25
3754,true,42,103,2019-11-26 23:17:25
3755,true,42,104,2019-11-26 23:17:25
3756,true,42,105,2019-11-26 23:17:25
3757,true,42,106,2019-11-26 23:17:25
3758,true,42,107,2019-11-26 23:17:25
3759,true,42,108,2019-11-26 23:17:26
3760,true,42,109,2019-11-26 23:17:26
3761,true,42,110,2019-11-26 23:17:26
3762,true,42,111,2019-11-26 23:17:26
3763,true,43,3,2019-11-26 23:17:26
3764,true,43,5,2019-11-26 23:17:27
3765,true,43,7,2019-11-26 23:17:27
3766,true,43,9,2019-11-26 23:17:27
3767,true,43,10,2019-11-26 23:17:27
3768,true,43,16,2019-11-26 23:17:27
3769,true,43,18,2019-11-26 23:17:27
3770,true,43,20,2019-11-26 23:17:27
3771,true,43,21,2019-11-26 23:17:27
3772,true,43,22,2019-11-26 23:17:27
3773,true,43,23,2019-11-26 23:17:27
3774,true,43,27,2019-11-26 23:17:27
3775,true,43,31,2019-11-26 23:17:27
3776,true,43,34,2019-11-26 23:17:27
3777,true,43,35,2019-11-26 23:17:27
3778,true,43,36,2019-11-26 23:17:27
3779,true,43,38,2019-11-26 23:17:27
3780,true,43,39,2019-11-26 23:17:27
3781,true,43,43,2019-11-26 23:17:27
3782,true,43,45,2019-11-26 23:17:27
3783,true,43,46,2019-11-26 23:17:27
3784,true,43,47,2019-11-26 23:17:27
3785,true,43,48,2019-11-26 23:17:27
3786,true,43,49,2019-11-26 23:17:27
3787,true,43,58,2019-11-26 23:17:27
3788,true,43,59,2019-11-26 23:17:27
3789,true,43,63,2019-11-26 23:17:27
3790,true,43,90,2019-11-26 23:17:27
3791,true,43,66,2019-11-26 23:17:27
3792,true,43,67,2019-11-26 23:17:27
3793,true,43,71,2019-11-26 23:17:27
3794,true,43,73,2019-11-26 23:17:27
3795,true,43,74,2019-11-26 23:17:27
3796,true,43,75,2019-11-26 23:17:27
3797,true,43,76,2019-11-26 23:17:27
3798,true,43,79,2019-11-26 23:17:27
3799,true,43,81,2019-11-26 23:17:27
3800,true,43,82,2019-11-26 23:17:27
3801,true,43,83,2019-11-26 23:17:27
3802,true,43,84,2019-11-26 23:17:27
3803,true,43,85,2019-11-26 23:17:27
3804,true,43,91,2019-11-26 23:17:27
3805,true,43,92,2019-11-26 23:17:27
3806,true,43,93,2019-11-26 23:17:27
3807,true,43,94,2019-11-26 23:17:27
3808,true,43,97,2019-11-26 23:17:27
3809,true,43,98,2019-11-26 23:17:27
3810,true,43,99,2019-11-26 23:17:27
3811,true,43,100,2019-11-26 23:17:27
3812,true,43,101,2019-11-26 23:17:27
3813,true,43,102,2019-11-26 23:17:27
3814,true,43,103,2019-11-26 23:17:27
3815,true,43,104,2019-11-26 23:17:27
3816,true,43,105,2019-11-26 23:17:27
3817,true,43,106,2019-11-26 23:17:28
3818,true,43,107,2019-11-26 23:17:28
3819,true,43,108,2019-11-26 23:17:28
3820,true,43,109,2019-11-26 23:17:28
3821,true,43,110,2019-11-26 23:17:28
3822,true,43,111,2019-11-26 23:17:28
3823,true,43,113,2019-11-26 23:17:28
3824,true,43,114,2019-11-26 23:17:28
3825,true,43,118,2019-11-26 23:17:28
3826,true,43,119,2019-11-26 23:17:28
3827,true,43,120,2019-11-26 23:17:28
3828,true,43,123,2019-11-26 23:17:28
3829,true,43,124,2019-11-26 23:17:28
3830,true,43,125,2019-11-26 23:17:28
3831,true,43,126,2019-11-26 23:17:28
3832,true,43,128,2019-11-26 23:17:28
3833,true,43,129,2019-11-26 23:17:28
3834,true,43,130,2019-11-26 23:17:28
3835,true,43,131,2019-11-26 23:17:28
3836,true,43,132,2019-11-26 23:17:28
3837,true,43,133,2019-11-26 23:17:28
3838,true,43,134,2019-11-26 23:17:28
3839,true,43,136,2019-11-26 23:17:28
3840,true,43,137,2019-11-26 23:17:28
3841,true,43,141,2019-11-26 23:17:28
3842,true,43,144,2019-11-26 23:17:28
3843,true,43,145,2019-11-26 23:17:28
3844,true,43,157,2019-11-26 23:17:28
3845,true,43,158,2019-11-26 23:17:28
3846,true,43,160,2019-11-26 23:17:28
3847,true,43,162,2019-11-26 23:17:28
3848,true,43,164,2019-11-26 23:17:28
3849,true,43,165,2019-11-26 23:17:28
3850,true,43,166,2019-11-26 23:17:28
3851,true,43,167,2019-11-26 23:17:28
3852,true,43,168,2019-11-26 23:17:28
3853,true,43,169,2019-11-26 23:17:28
3854,true,43,171,2019-11-26 23:17:28
3855,true,43,172,2019-11-26 23:17:28
3856,true,43,173,2019-11-26 23:17:28
3857,true,43,174,2019-11-26 23:17:28
3858,true,43,175,2019-11-26 23:17:28
3859,true,43,176,2019-11-26 23:17:28
3860,true,43,177,2019-11-26 23:17:28
3861,true,43,178,2019-11-26 23:17:28
3862,true,43,179,2019-11-26 23:17:28
3863,true,43,180,2019-11-26 23:17:28
3864,true,43,181,2019-11-26 23:17:28
3865,true,43,182,2019-11-26 23:17:28
3866,true,43,183,2019-11-26 23:17:28
3867,true,43,184,2019-11-26 23:17:28
3868,true,43,185,2019-11-26 23:17:28
3869,true,43,186,2019-11-26 23:17:28
3870,true,43,187,2019-11-26 23:17:29
